null,null,null,null,null,null:null
40,32,22,45,25,30:21
41,37,8,1,45,39:19
4,34,19,3,6,25:22
32,22,18,29,23,38:31
41,34,25,1,26,36:29
13,36,40,23,19,27:9
5,9,15,45,13,6:17
33,13,38,39,22,6:36
6,32,2,44,11,26:29
30,4,39,20,26,36:27
28,38,20,45,22,35:31
5,16,45,44,18,34:43
41,4,43,40,36,8:32
39,14,41,17,21,15:30
5,8,36,42,1,6:43
41,20,15,21,13,37:30
7,13,4,44,23,14:8
5,7,3,42,37,1:15
39,42,44,20,23,29:14
33,34,26,13,22,36:25
9,32,2,37,25,8:24
40,5,37,36,41,27:35
9,12,23,1,19,17:25
19,2,20,27,26,6:24
38,35,33,34,43,6:27
4,33,10,39,45,5:12
38,9,15,31,27,36:25
9,33,28,45,8,31:21
40,3,41,26,20,11:21
17,6,23,25,35,7:28
40,14,3,37,22,25:33
15,29,11,23,24,33:34
40,12,6,42,19,24:22
19,26,37,27,10,18:17
6,17,14,30,19,7:28
39,4,20,10,17,45:15
4,25,11,42,43,10:18
13,4,9,36,29,12:17
9,15,11,40,22,20:34
3,35,34,10,26,21:6
8,2,4,41,20,5:19
3,41,36,37,25,44:28
38,6,40,29,12,17:8
7,31,42,1,32,25:16
6,3,2,4,37,43:8
18,2,41,25,20,6:31
38,6,31,2,1,21:18
8,38,4,33,24,44:23
37,7,40,43,29,12:8
7,15,39,24,9,27:31
2,33,18,31,44,30:37
31,10,1,2,9,44:15
26,2,9,18,30,23:31
35,32,22,26,27,31:17
5,10,2,32,43,23:14
15,1,13,4,34,31:12
7,38,10,1,25,13:16
41,34,7,13,39,22:15
3,36,27,20,8,6:10
15,10,42,2,20,6:13
9,12,41,18,44,8:19
41,33,6,44,19,43:30
5,7,20,1,2,30:15
4,20,32,41,33,25:13
4,38,8,31,6,28:22
15,41,42,8,24,20:21
36,3,14,17,6,12:13
37,4,30,9,1,17:10
41,36,26,19,16,10:30
35,36,3,1,41,25:37
28,18,43,19,23,11:27
38,7,34,3,5,40:17
33,38,3,13,31,28:10
1,11,4,39,36,29:30
32,35,28,11,34,45:21
35,18,1,11,29,32:10
35,36,2,43,18,26:9
7,35,26,2,29,6:30
14,21,34,32,2,42:38
39,10,41,43,33,42:19
36,3,41,11,32,23:28
33,7,40,4,25,8:15
35,40,24,19,42,37:25
35,42,43,37,33,20:44
1,25,43,36,42,15:38
11,43,27,20,13,8:37
35,11,42,17,44,29:12
35,43,32,45,20,44:12
35,19,4,20,17,44:12
29,10,42,17,28,2:44
8,20,12,16,19,23:7
27,4,37,15,25,20:18
35,10,39,38,22,21:16
8,3,23,11,6,21:27
25,10,26,6,29,24:7
41,32,3,34,24,4:19
30,40,38,5,12,7:37
30,31,15,12,5,17:44
32,27,19,3,42,41:36
7,26,38,34,45,19:33
6,1,9,40,39,31:7
26,37,38,28,16,12:7
18,30,11,27,13,43:32
3,10,24,13,2,6:12
32,14,1,24,37,44:6
32,25,20,6,40,5:4
30,14,29,40,2,45:15
41,25,33,13,43,30:31
14,42,21,12,2,15:31
8,14,28,25,35,18:4
14,23,10,34,2,13:18
10,9,29,28,4,24:44
41,11,15,35,18,38:33
28,42,39,11,2,12:36
40,37,9,24,21,2:17
40,7,22,27,39,45:35
39,3,42,28,45,44:34
34,19,43,15,12,16:37
37,7,24,25,32,14:4
26,1,41,39,30,17:12
32,2,13,18,12,7:33
20,42,45,15,26,16:22
7,27,35,34,28,26:33
5,23,40,18,44,31:21
8,41,12,30,4,19:32
5,20,3,12,35,10:18
39,14,24,41,37,29:32
22,1,19,45,43,24:12
9,1,41,22,30,4:23
37,32,15,13,29,12:34
39,1,38,29,13,32:17
37,29,7,42,41,34:28
14,3,42,37,27,31:16
39,37,42,34,2,15:31
14,25,42,33,13,7:29
14,31,39,7,29,19:22
39,8,11,19,14,31:18
39,32,28,2,12,27:16
8,29,14,33,11,44:12
38,6,11,2,43,14:16
20,25,45,43,19,17:41
35,13,39,33,21,34:41
25,9,6,42,18,44:11
33,31,1,36,42,43:38
28,26,10,29,43,30:16
34,12,13,26,27,32:36
25,1,2,43,31,10:28
6,12,39,42,19,11:4
34,31,36,38,10,17:15
13,5,40,29,19,2:28
33,23,24,18,1,7:15
28,18,34,1,30,16:7
40,22,30,5,15,18:44
14,20,22,39,4,36:19
33,11,34,18,45,25:6
26,23,2,39,1,3:29
